영단어,한국단어,설명
Maritime Prize,국제 해사 상,"국제해사기구(IMO) 목적달성에 가장 이바지를 한 개인, 비정부기구 또는 단체에 수여하는 상으로 1977년에 신설되었으며 1981년부터 매년 수여하고 있음 IMO Award for Exceptional Bravery at Sea 바다의 의인상 대상 ‘IMO 바다의 의인상’은 국제해사기구(IMO)가 매년 해상에서 인명구조 및 해양오염 방지를 위해 노력한 개인이나 단체를 선정하여 주는 상으로써, 국제해사기구(IMO)는 2007년부터 회원국 및 관련 국제단체가 추천한 후보자 중 평가위원단의 엄격한 심사를 거쳐 수상자를 선정하고 있음. 2011년 아덴만에서 해적에게 피랍된 선박의 선원을 구출하는 작전(아덴만의 여명)에서 공을 인정받아, 대한민국의 석해균 선장이 바다의 의인상 대상을 수상한 이력이 있음 Certificates of Commendation in recognition of their acts of bravery 바다의 의인상 우수상 Letters of Commendation in recognition of their courageous actions 바다의 의인상 장려상"
Day of Seafarer,선원의 날,"2010년 STCW 마닐라 회의에서 ‘선원의 날’ 기념일이 신설되었으며, 전 세계 선원들의 노고를 기리기 위하여 2010년 국제해사기구(IMO)에서 제정한 날로 매년 6월 25일에 기념함 IMO Goodwill Maritime Ambassador Scheme"
IMO,명예 대사 제도,해사 분야에 종사하거나 종사 예정인 젊은 세대에게 해사 분야 전문가들이 관련 경험 및 지식 그리고 국제해사기구(IMO)에 관해 전파·공유하기 위해 2015년 신설한 IMO 차원의 홍보 제도임 Specialized Agencies of the
United Nations,유엔전문기구,"유엔과 협정을 맺고 제휴․협력하며, 특정한 목적과 임무를 수행하는 정부 간 국제기구를 의미함. 정부 간 협정에 따라 설치되고, 유엔과 협력관계를 유지하면서 경제․사회․문화․교육․보건 기타 연관된 분야에서 특정한 목적과 임무를 수행하는 국제기구임. 협정은 유엔경제사회이사회(ECOSOC)와 각 전문기구 사이에 체결하여 유엔 총회의 승인을 받고, 전문기구들은 독자적인 회원국 제도를 가지며, 입법․행정기구, 사무국 및 자체 예산을 갖는 자율적인 기구임. 현재 15개 전문기구가 있음"
Committee,위원회,"국제해사기구(IMO)에 관한 협약(Convention on the International Maritime Organization) 제11조(Organs)에 따라 기구는 5개의 위원회(해사안전위원회, 법률위원회, 해양환경보호위원회, 기술협력 위원회, 간소화위원회)를 둠. 각 위원회는 해운·조선 부문의 전문성을 지니며 소관 협약의 제·개정 및 주요 현안을 논의함"
Working Group,작업반,"IMO 회의 의제 중, 좀 더 깊이 있는 논의가 필요한 의제에 관해 회기 중 별도의 작업반(별도 회의실)을 구성하여 논의할 수 있음. 또한 각 회기 중 작업반 개설은 초안작업반을 포함하여 최대 5개로 제한되어 있음"
Drafting Group,초안작업반,"초안작업반에서는 논의 내용에 관한 구체적인 토의보다, 완성도 있는 결의서 및 협약 제·개정을 위한 자구 수정 등을 중점적으로 논의함"
Sub-Committee,전문위원회,위원회와는 별도로 좀 더 세부적이고 기술적인 내용을 깊이 있게 논의하기 위해 국제해사기구(IMO)는 MSC 및 MEPC 산하에 7개의 전문위원회를 두고 있으며 그 체계는 아래 그림과 같음 Correspondence
Group,통신작업반,"정해진 기간의 회기 중에 시간 또는 전문가 인력이 부족하여 논의가 진행될 수 없는 경우 또는 사안의 중요성을 고려하여 추가 논의가 필요한 경우, 회기 간 논의를 위해서 통신작업반을 개설할 수 있음. 이는 인터넷 통신수단(E-mail 등)을 활용하여 논의를 진행함 ToR (Terms of Reference) 위임사항 회기중 작업반, 초안작업반 또는 회기간 통신작업반 등에게 회의 시작 전, ToR을 선정하여 해당 회의에서 논의해야 할 안건의 범주를 선정하는 작업이 매우 중요. ToR은 통상 ‘위임사항’이라 지칭하며 일반적으로 논의 범주를 의미함. ToR를 선정하지 않으면 논의 경과에 따라 기존에 논의 범주에서 벗어난 부적절한 논의가 이뤄질 우려가 있음"
New Outputs,신규 작업과제,"각 IMO 회의(위원회 & 전문위원회)에서 논의될 정식의제를 선정하기 위해 회원국들로부터 신규 작업과제(New Outputs) 제안을 받으며, 추후 IMO 차원에서 필요성 또는 가치 여부 등을 검토하여 정식의제로 해당 회의체에 상정 여부를 결정함 SD (Strategic Direction) 전략 방향 국제해사기구(IMO) 설립 목적을 효율적으로 달성하기 위해 국제해사기구(IMO) 차원에서 전략 방향(Strategic Direction)을 설정하고 이를 회원국에 공표함 SP (Strategic Plan) 전략계획 설정된 전략 방향에 부합하는 구체적인 전략계획을 수립하며, 이는 장기적 이행 측면을 고려한 계획임 Terms and"
Conditions,이용약관,기관 또는 단체에서 제공하는 서비스를 이용하기 위해 동의해야만 하는 일종의 규칙을 의미함. IMO 회의에서는 언론 참여(Media Attendance)에 관한 이용약관을 공지하여 밝히고 있음
Note Verbale,구술서,"다른 국가와 토의한 기록 또는 문제점을 제시하기 위해 상대국에 제출하는 외교문서의 일종임, 상대국에 질의, 의뢰, 통고 등 다양한 경우에 사용됨 FRFR 재정 규정 및 규칙 FRFR (Financial Regulations and Financial Rules), 국제해사기구(IMO)는 자체적으로 재정 규정 및 규칙을 보유하며, 이에 따라 기구 차원에서 관리하는 각종 기금에 대한 예산편성 및 내·외부 감사를 진행하고 있음. 또한 회계감사 결과 (Financial"
Report),보고서를 발행하여 회원국에 관련 정보를 공유,"PI (Performance Index) 성과지표 국제해사기구(IMO)는 총회에서 채택된 7개 전략 방향(Strategic Direction 1~7)과 관련, 향후 이에 관한 개선사항을 식별하고 정량적인 이행 정도를 평가하기 위해 40개의 성과지표(PI)를 선정"
Plenary,본회의,"사전상 의미로써 본회의 또는 전체회의를 지칭함. IMO 회의에서는 본 회의장에서 개최되는 회의를 의미하며, 본 회의장 외의 장소에서 개최되는 작업반(Working Group) 회의에서는 ‘Plenary’ 명칭을 사용하지 않음"
Rules of Procedure,의사규칙,"의사규칙은 원활한 회의 진행을 위한 약속으로써, IMO는 총회, 이사회 그리고 위원회의 고유한 회의 의사규칙을 가지고 있으며, 전문위원회는 이사회의 의사규칙을 준용함. 필요 시 회원국의 합의에 따라 의사규칙 개정이 가능하며, 의사규칙 통합본은 IMO DOCS 홈페이지 내 ‘Basic Documents’ 문서를 통해 확인 가능함"
Contribution,분담금,"국제해사기구(IMO) 운영에 필요한 자금은 대부분 회원국의 분담금 (Contribution)으로 충당되며, 이는 이사회와 총회를 통해 결정됨. 참고로, 만약 회원국이 분담금 규정을 이행하지 못할 경우, 회원국으로서 권리가 상실될 수 있음"
External Audit,외부감사관,IMO 재정 규정 및 규칙(FRFR)에 따라 총회에서 4년의 임기로 외부감사관을 지명하도록 하고 있음 Credential
Committee,신임장 위원회,"IMO 총회 의사규칙 9에 따라 회원국으로부터 신임장을 전달받게 되면, 사무국은 신임장 위원회(Credential Committee)를 조직하여 이를 검증함. 총회 의장의 지명에 따라 각기 다른 회원국의 5명의 대표가 선임되어 신임장 위원회를 구성 UN 국제연합 UN (United Nations), 전쟁 방지와 평화 유지를 위해 설립된 국제기구로서 주요 활동은 크게 평화유지 활동, 군비축소 활동, 국제협력 활동으로 나뉘며, 주요 기구, 보조기구 및 전문기구로 구성됨. 1945년 10월 설립되었으며 본부는 뉴욕에 있음 AIIC 국제회의통역사협회 AIIC (International, Association of Conference Interpreters), 1953년 설립, 100개국 이상의 3,000명가량 회원이 가입되어 있으며, 국제회의 통역사들을 대표하는 국제기관임 ICSC 국제공무원위원회 ICSC (International Civil Service Commission), 국제공무원위원회는 1974년 12월 18일 총회 결의 제3357호에 따라 설립된 유엔 총회 산하의 단체임. 본부는 뉴욕에 있음 Statement 성명, 담화문 담화문이란 특정 사안에 대한 의견을 공적으로 발표하기 위해 작성하는 문서를 지칭함. 일반적으로 담화문은 공적인 자리에 있는 주무 부처의 장관 등이 국가 현안에 관한 의견을 밝히기 위해 작성 되며 담화문의 내용은 작성 당시의 주요 현안이나 발표자의 견해에 따라 자유롭게 구성하여 작성 Joint Inspection"
Unit,합동감사기구,국제기구의 사업계획 채택·실적 평가제도 개선 등 행정·예산 분야의 제반 개혁조치 등을 포함한 이행 사항을 전반적으로 점검하는 유엔 산하의 기구임 (홈페이지 : www.unjiu.org)
IMO,위원회와 전문위원회 회의에 신규 의제로 상정되는,"안건으로써, 해당 회의의 목적과 IMO 전략 방향에 부합하는 차기 회의에서 논의 가능한 안건을 선정하는 절차"
IMO,회의에 회원국을 대표하여 참석하는 대표단 리스트를 정보,문서 형식으로 매회의 공개함. 참석자의 직급은 아래와 같이 구분 영문 국문
Treaty,조약,국가 간 맺는 기록관계에서 가장 격식을 따지는 것으로 정치적· 외교적 기본관계나 지위에 관한 실질적 합의를 기록 예) 한·러시아 기본관계에 관한 조약 (1993) 한·인도 범죄인 인도조약 (2005)
Convention,협약,"양자조약에서 특정 분야·기술적 사항에 관한 입법적 성격의 합의. 또한, 국제기구의 주관하에 개최되는 다자간 국제회의에서 체결하는 다자조약에 사용 예) 담배규제 기본협약 (2005) 한·요르단 이중과세방지협약 (2005)"
Resolution,결의서,"국제기구 및 기관이 대내·외적으로 실행하는 어떠한 의사표명의 완성된 문서를 지칭함. 결의서는 성격에 따라 구속력을 가질 수도 있지만, 대부분 권고적 효력을 지님. 단, 다양한 국제기구의 총회 결의서는 국제관습법 성립을 위한 증거가치로 중요한 역할을 함"
Statute,규약 / 헌장 / 규정,"국제기구를 구성하거나 특정 제도를 규율하는 국제적 합의에 사용 예) 국제연맹규약, UN 헌장, 국제사법재판소(ICJ)규정 등"
Agreement,협정,국제간 조약의 일종으로 주로 정치적 성격의 전문적·기술적인 주제를 다루는 경우에 사용함. 국제법상 효력 등은 조약과 동일하나 엄격한 형식을 취하지 않고 비교적 중요성이 낮은 합의에 쓰임 예) 한·호주자원협력 협정 (2005)
Protocol,의정서,"기본적인 문서에 대한 개정 또는 보충적인 성격을 띠는 조약에 사용 예) 한·루마니아 경제 과학 기술협력 협정개정 의정서 (2005), 제네바 협약에 대한 추가 및 국제적 무력 충돌의 희생자 보호에 관한 의정서 (1949)"
Authentic Text,정본,"법적 구속력을 지닌 조약을 의미하는 것으로, 교섭 시 사용된 언어는 일반적으로 조약문 정본으로 포함되며 조약 당사국의 국어 본도 원칙적으로 정본이 됨"
Exchange of Notes,교환각서,조약의 서명 절차를 체결하는 주체 간의 각서교환으로써 기술적 성격의 합의에 있어 행정적 수요에 부응하기 위해 사용 예) 한·칠레 사증 면제교환각서 (2004) Memorandum of Understanding (MoU) 양해각서 이미 합의된 사항 또는 조약 본문에 사용된 용어의 개념을 명확히 하기 위해 당사자 간 외교교섭의 결과로 상호 양해된 사항을 확인·기록하는 경우에 사용 예) WTO DDA 국제신탁기금 출연에 관한 한-WTO 양해각서(2005)
Annex,부속서,"조약문은 크게 제목(title), 전문(preamble), 본문(main parts)으로 구성되어 있으며 본문은 다시 주된 조문(articles), 최종조항(final clauses), 부속서(annex)로 구성됨. 부속서란 본문과 분리되어 있으나 역시 본문의 일부를 이루는 문서로서 통상 기술적인 규정 및 보충사항을 그 내용으로 함. 조약의 조문에 이러한 내용까지 포함할 경우 조약 본문의 분량이 너무 방대해지거나 그 체제가 산만하게 되므로 이를 막기 위해 이를 부속서로 따로 분리함."
Authentication,인증,"조약문이 작성된 다음에 조약문을 채택(adoption)하고 그 조약문을 최종적인 것으로 끝맺는 절차로서, 임시서명이나 서명의 방식으로 행해짐. 인증된 조약문에 대해서는 다시 수정할 수 없으며 수정은 재교섭을 의미함"
Force Majeure,불가항력,"협약상 불가항력은 협약을 이행할 수 없는 예측 불가능하고, 회피 불가능하고, 극복 불가능한 상황을 지칭함. 대부분 국제협약 조문에서 불가항력 경우의 협약 적용에 관해 명시함"
Special Rules,특별규칙,국제협약의 조문에서 특별규칙 조항을 통해 일부 합의에 따라 특별규칙을 신설할 수 있도록 하고 있음. SOLAS 경우 특별규칙에 따라 협약 및 코드의 4년 주기 발효 체계를 구축한 바 있음
Ratification,비준,"정부 대표가 서명한 조약을 조약체결권자 또는 조약체결권자로부터 비준의 권한을 위임받은 자가 확인함으로써 그 조약에 대한 국가의 기속적 동의를 최종적으로 표시하는 행위를 지칭함. 비준 의사의 표시는 양자조약의 경우는 비준서 교환으로, 다자조약의 경우는 비준서 기탁으로 행해짐"
Approval,수락 / 승인,"수락이나 승인은 주로 다자조약에 대한 국가의 기속적 동의 표시의 한 방법으로 조약의 원서명자로서 수락이나 승인을 행하는 경우와 조약의 원서명자가 아닌 국가가 수락이나 승인을 행하는 경우로 나누어 볼 수 있는 데, “수락의 조건으로” 또는 “승인의 조건으로” 서명한 후 행하는 전자의 경우는 “비준” 그리고 해당 조약채택 시 서명을 하지 않았던 국가가 후에 행하는 수락이나 승인은 “가입”과 같은 의미와 효과를 지님"
Accession,가입,다자조약의 원 서명국이 아닌 국가가 추후 당사국이 되기 위하여 조약상의 규정(가입)에 따라 국가의 기속적 동의를 표시하는 행위
Entry into force,발효,발효란 합의된 조약이 실제로 당사국에 대해 법적 구속력이 발생하게 되는 순간을 의미함. 다자조약에 있어서 협약이 채택되었다 하더라고 발효되지 않는다면 법적 구속력이 없다고 봄
Reservation,유보,"다자조약 체결 시(서명·비준·가입·승인 또는 수락) 행하는 선언으로, 그 조약 내의 특정조항의 법적 효력을 자국에 대하여 배제, 제한·변경하기 위한 조치를 의미"
Invalidity,무효,조약의 무효란 조약체결에 있어 국제법이 정하는 요건이 충족되지 않음으로써 조약이 유효하게 성립하지 못하는 것을 지칭함
Deposition,기탁,"다자조약에 있어서 국가의 기속적 동의(가입·비준·수락·승인)를 표시하는 방식으로써, 양자조약과 달리 다수 국가 사이의 비준서 등 교환에서 오는 번거로움을 없애기 위해 수탁처(depositary)를 설정하고 여기에 비준서 등을 맡김"
Registration,등록,국제법 주체 간에 체결된 조약을 국제여론의 감시 밑에 둠으로써 비밀외교를 방지하고 국제평화 유지에 이바지하고자 UN 헌장 제102 조는 모든 조약을 UN 사무국에 등록하도록 요구함 UN 헌장 제102조 1. 이 헌장이 발효한 후 국제연합 회원국이 체결하는 모든 조약과 모든 국제 협정은 가능한 한 신속히 사무국에 등록되고 사무국에 의하여 공표된다. 2. 이 조 제1항의 규정에 따라 등록되지 아니한 조약 또는 국제 협정의 당사국은 국제연합의 어떠한 기관에 대하여도 그 조약 또는 협정을 원용할 수 없다.
Amendment,개정,"유효하게 체결된 조약의 규정을 당사국 간 합의에 따라 변경하는 행위를 말함. 조약은 당사국 간의 합의에 따라 개정될 수 있으며, 조약에 개정 절차를 규정하고 있는 경우를 제외하고는 조약체결 절차와 같은 절차에 의하여 개정됨 Denunciation and"
Withdrawal,폐기 및 탈퇴,"조약의 당사자들이 조약상 의무에서 벗어나기 위하여 일방적으로 행하는 법률행위로서, ‘폐기’는 양자조약에서 사용되며 ‘탈퇴’는 다자조약에서 사용됨"
Circular,회람문서,비강제적 성격을 가지는 IMO가 합의한 각종 지침서와 회원국이 주지할 필요가 있는 다른 회원국의 정책 사항에 대한 문서를 지칭
IMO,차원에서 회원국에 알리는 행사 개최 등의 단순한 정보 공유를,위한 목적으로 Circular Letter 문서를 발행함
Explicit acceptance,명시적 수락,"통상 협약의 수락 절차는 명시적(Explicit) 수락과 묵시적(Tacit) 수락으로 나뉘며, 명시적 수락은 협약의 개정 사항 채택 이후 정해진 별도 수락 기간이 없고 분명한 수락 의사를 밝히는 방법을 지칭함"
Tacit acceptance,묵시적 수락,묵시적(Tacit) 수락은 채택된 협약의 개정 사항에 대하여 수락에 관한 일정 기한을 정해놓고 해당 기간 회원국이 명시적으로 반대 의사를 밝히지 않으면 수락되는 방법임
Consensus,총의,"통상적으로 조직 및 기구에서 구성원의 일반적인 동의를 지칭하는 말로 사용됨. 총의에 도달하기 위해서는 구성원들의 진중한 심의가 필요하며 국제기구는 총의를 증진하는 방향으로 논의를 진행 자율운항선박(MASS) Maritime Autonomous Surface Ships (MASS) 자율운항선박 사람의 간섭 없이 독립적으로 운용되는 선박으로써 고도로 자동화되었거나 원격으로 운항시스템의 통제가 가능한 선박을 말함. 사물인터넷(IoT), 정보통신기술(ICT), 데이터 분석, 육상 통제 시스템과 같은 최신 기술을 사용하고, 선박 경계당직(lookout), 장비 점검, 엔진 조종, 화물 선적 등 선박 운항과 관련된 업무의 일부 또는 전부를 자율적으로 처리 가능함. 자율운항선박은 선박 안전성 향상, 해상 운송 효율성 제고, 선원들의 작업환경 개선, 해운·조선 등 해상 산업의 경쟁력 강화 등으로 긍정적인 평가를 받고 있음."
Autonomous System,자율 시스템,"자율 시스템은 자율항해시스템과 자율기관시스템으로 구분됨 자율항해시스템은 라이다*, 레이더, IR 카메라(열화상 카메라) 등 각종 센서를 통해 운항 중인 다른 선박, 장애물, 지형, 날씨 등의 데이터를 읽고 수집 가능한 시스템을 지칭함 자율기관 시스템은 선박의 엔진과 각종 기기에 센서를 부착하여 운전 정보를 수집하고 현재 상태와 변화추이를 분석함. 고장 발생 전 분석한 빅데이터를 통해 사고를 예측하거나, 사고에 대처할 수 있도록 함으로써 운항 효율을 높임 라이다(Light Detection and Ranging, LIDAR) : 레이저를 발사해 그 빛이 주위의 대상 물체에서 반사되어 돌아오는 것을 받아 물체까지의 거리 등을 측정해 주변 모습을 정밀하게 그려내는 장치 <라이다로 캡쳐한 화면, 출처: DNV GL – Maritime Remote-controlled and autonomous ships > Remotely Controlled"
System,원격제어시스템,"원격제어시스템은 선박과 선박 또는 육상과 선박 간에 정보를 공유하거나, 필요한 경우, 직·간접적으로 운항에 참여가 가능한 시스템을 지칭함. 선박은 운항에 대한 세부적인 정보를 주변 선박과 실시간으로 공유함으로써 잠재적 위험 요소를 사전에 식별하여 대비하고, 또한 육상의 전문 인력과 첨단 기술을 활용하여 선박의 안전성과 경제성을 확보할 수 있음"
Remote Operator,원격운항자,"자율운항선박의 원격제어시스템으로부터 수신한 정보를 관리하며, 최종적으로 선박 운항에 관한 사항을 지휘 및 통제하는 자로서, 기존의 선장과 선원의 역할을 대신함. 향후 원격운항자의 명확한 정의를 비롯하여 역할과 법적 지위 등에 관하여 IMO 차원에서 논의할 예정임 Regulatory Scoping Exercise (RSE) 규정 적용 범위 분류작업 MSC는 자율운항선박 도입으로 IMO 협약 중 해상안전, 해양환경, 인적 요인 등에 미칠 수 있는 영향을 파악하여 협약 내 잠재적인 개정이 필요한 부분을 식별하는 작업을 진행 중. 이에 다루고 있는 협약들은 다음과 같으며, RSE는 두 단계 절차를 통해 진행됨 • Safety and maritime security (SOLAS) • Collision regulations (COLREG) • Loading and stability (Load Lines) • Training of seafarers and fishers (STCW, STCW-F) • Search and rescue (SAR) • Tonnage measurement (Tonnage Convention); Safe Containers (CSC) • Special trade passenger ship instruments (STP) 관련 IMO 협약 내 MASS 운용에 필요 또는 방해되는 규정을 식별 ▶ 식별한 규정에 관한 통일해석 개발 등 MASS 운용을 위한 협약 제·개정 Interim guidelines for Maritime Autonomous Surface Ships (MASS) trials"
MASS,시운전 임시지침서,"동 지침서는 MASS 시운전 시 발생할 수 있는 위험요인을 식별하고 제거할 수 있도록 지침을 제공함. 시운전은 협약에서 요구하는 해상안전, 보안 및 해양환경 보호와 같은 수준으로 시행되며, 선상이나 육상의 MASS 운항자는 시운전을 안전하게 시행할 수 있는 자격을 갖추어야 함. MASS 시운전 시 사용되는 시설들과 전산시스템의 사이버보안을 점검하는 단계도 지침서에 포함됨 1. 산업계와 정부의 통일된 단일지침서 개발 2. 통상적인 일반사항을 고려한 지침 개발 3. 기술적인 상세가 포함되지 않도록 적정 수준으로 개발 4. 목적기반기준개발(GBS) 방법과 절차를 준용 5. IMO와 이해당사자 간의 지침 개발 관련 정보 공유 6. 시운전 수행에 관한 해당 연안국 보고를 포함한 정보 공유 7. 선반 안전과 환경보호를 고려한 사고 예방조치 8."
IMO,국제협약의 준수하에 시운전 수행,9. 항해 및 장비 등 시운전 작업 범위의 설정 신개념선박건조기준(GBS) Goal-Based New Ship Construction
Standards,신개념 선박건조기준,GBS란 선박이 수명주기 동안 확보해야 할 안전목표(Safety Goal) 및 기능 요건(Functional Requirements)을 설정하고 이를 만족하기 위한 세부기준을 다섯 단계로 정의함으로써 선박의 안전성을 향상하기 위한 새로운 개념의 IMO 법규 체계임.
Goal-based,규정은 목표 달성을 위한 세부적인 방법을 명시하지,"않고 단지 목표만을 설정한다는 측면에서, 목표를 달성하는 다양한 방법들을 가능하게 함 GBS Verification Audit Scheme"
GBS,적합성 검증 감사,"선급에서 제정한 GBS 건조 규칙은 GBS 감사팀의 검증 단계를 거쳐야 함. GBS 4단계 선급 규칙이 1단계 목적(goals)과 2단계 기능 요건(functional requirements)을 반영 여부를 검증. 3년 주기로 유지보수 감사를 수행하며, 규칙의 중요도에 따라 분류된 Category에 따라 모든 규칙 변경사항에 대해 감사를 진행 Category 1 감사 미시행(Team 요청 경우를 제외)"
Category 3,항시 감사를 수행,Common Structural
Rules (CSR),공통 구조 규칙,"국제선급연합회(IACS)에서 IMO GBS 규정에 따라 개발한 선체 구조 규칙으로써 생명, 환경 및 재산의 안전성을 개선하고 선박의 설계 수명 동안 선체 구조의 내구성을 지속시키기 위하여 주요 선체 구조의 결함을 완화하는 최소한의 요구 사항을 설정함. 선박의 구조 강도 및 수밀 구조가 상세 요건을 만족하도록 함"
Design Life,설계 수명,"선박이 자체의 구조 강도를 유지하면서 선체구조 손상을 일으키지 않고 원래의 목적대로 서비스를 할 수 있는 기간. 선박의 실제 서비스 설계 수명은 운용조건이나 선박의 전 생애 주기 동안 유지, 보수 상태에 따라 다소 차이가 있음"
Class Rules,선급 규칙,선주와 조선소 및 보험회사의 삼각대 속에서 어느 한쪽에 편향되지 않게 선박의 안전성을 보장하기 위하여 선급 협회가 자체적으로 가지고 있는 선박의 안전 기준 GBS-Safety Level
Approach (SLA),안전수준접근법,안전사고 예방을 위하여 대책을 세움에 있어서 과거의 사고 사례 및 미래의 사고 예측 등을 통계적인 방법으로 접근하여 정량적인 안전 수준을 확보하는 기법 Risk-based
Approaches (RBA),위험도 기반 접근법,"분석대상의 안전도나 위험도 평가에 있어서 통계적이고 확률적인 기법을 적용하는 접근 방법. 즉, 인명, 재산 및 환경오염 등에 대한 목표 위험도를 설정하고, 이 위험도를 달성하기 위한 설계를 수행하는 기법"
Risk,위험도,"사건의 위험한 정도를 일컬으며 발생 빈도와 발생시 피해 규모의 조합으로 표시. 발생 빈도와 피해 규모를 정량화하기 어려운 경우, 각각 정성적(예 : 고, 중, 저)으로 표현하고 두 요소를 조합하여 위험의 크기를 결정 Fault Tree Analysis (FTA) 결함수 분석 고장분석 방법의 하나로서, 시스템의 비정상적 상태(예 : 고장, 성능 하락)를 하위시스템의 상태나 사건을 조합하는 불리안 논리 (boolean logic)로 표현하여 시스템의 고장률을 정량적으로 산출 하는 방법. 나뭇가지와 같이 하위시스템으로 순차적인 전개를 통하여 결국 시스템의 비정상적 상태는 개별 요소 사건(basic event)의 조합으로 표현됨 Failure Modes and Effects Analysis (FMEA) 고장 형태 및 영향 분석 각 부품의 고장이 어떻게 전체 시스템에 영향을 미치는지를 분석하여 각 고장에 대응하는 적절한 안전장치가 마련되어 있는지를 분석하는 방법. Failure Modes and Effects, and Criticality Analysis (FMECA) 고장 형태, 영향 및 심각도 분석 계량화된 고장 형태 및 영향 분석 Formal Safety"
Assessment (FSA),공식안전성평가,"FSA는 위험 분석과 위험을 저감하는데 필요한 비용-편익 평가를 통해 생명, 건강, 해양환경 및 재산 보호 등 해양 안전을 강화하는 목적으로 하는 체계적인 방법론임. 해상안전이나 해양환경 분야의 새로운 규정을 평가하기 위해 사용됨. 즉, 인명, 해상환경 및 재산 보호를 포함하여 해상안전의 향상을 기하기 위한 저감해야 할 위험도와 이에 필요한 비용-편익 평가를 사용한 조직적이고 체계적인 의사결정 지원 방법 Common Cause"
Failure,공통원인고장,동일한 근본 원인(root cause)에 의하여 다중의 보호 장치에도 불구하고 발생하는 고장. 어떤 하나의 사건으로부터 발생한 여러 아이템의 고장 Structural accessibility 구조 접근성 선체구조를 유지ㆍ보수ㆍ검사하기 위하여 선체의 모든 부분에 쉽게 접근할 수 있도록 통로 및 사다리 등을 설치하는 것
Root cause analysis,근본 원인 분석,충분히 확인할 수 있으며 관리로써 제어·조정할 수 있는 사건의 가장 기본적인 원인을 정의하는 분석 기법
Checklist analysis,목록 분석,하나 또는 그 이상의 목록 양식으로 된 현존하는 지침에 대한 상황 평가 분석 기법 Functional requirements 기능 요건 신개념 선박건조기준(GBS)에서 2단계 요구 조건으로 신개념 선박건조기준(GBS) 1단계인 목적(goals)을 성취하기 위하여 지켜져야 할 기본적인 기능 요건들
